survey_location,session,birth_year,home_location,sex,caretaker,visit_frequency,relative_type,relative_curr_home_lang,relative_past_home_lang,relative_work_lang,relative_neighbor_lang,relative_partner_lang,relative_family_lang,relative_ethnicity,relative_education,relative_past_home,relative_curr_home,relative_profession,relative_religion,relative_birth_year,relative_first_lang,relative_other_langs
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,ZQQAQY,1992,Lampung - Way Jepara,Perempuan,"Nenek, orangtua",lebih dari 24,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Lampung - Way Jepara,Lampung - Way Jepara,Tani,Islam,,Jawa,
,,,,,,,Bapak,jawa,jawa,jawa,jawa,jawa,jawa,Jawa,SMP,Lampung - Way Jepara,Lampung - Way Jepara,Tani,Islam,,Jawa,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,VQEMPX,1990,Lampung - Kota Bandar Lampung,Laki,Orangtua,3-5,Ibu,Indonesia,Lampung,Indonesia,Indonesia,Indonesia,"Indonesia, Lampung",Lampung,S1,Lampung - Ibu Kota Liwa,Lampung - Kecamatan Langkapura,PNS,Islam,1968,Lampung,"Lampung, Indonesia"
,,,,,,,Bapak,Indonesia,"Jawa, Indonesia",Indonesia,Indonesia,Indonesia,"Indonesia, Jawa",Jawa,S1,#NAME?,Lampung - Kecamatan Langkapura,PNS,Islam,1959,Jawa,"Indonesia, Jawa"
,,,,,,,Ibu dari ibu,Lampung,Lampung,Lampung,Lampung,Lampung,Lampung,Lampung,SMA,Lampung - Ibu Kota Liwa,Lampung - Ibu Kota Liwa,,Islam,1920,Jawa,"Indonesia, Jawa"
,,,,,,,Bapak dari ibu,Lampung,Lampung,Lampung,Lampung,Lampung,Lampung,Lampung,SMA,Bengkulu,Lampung - Ibu Kota Liwa,,Islam,1915,Lampung,
,,,,,,,Ibu dari bapak,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah - Kabupaten Tegal,Lampung - Kota Bandar Lampung,,Islam,1922,Lampung,
,,,,,,,Bapak dari bapak,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah,Lampung - Kota Bandar Lampung,,Islam,1918,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Jawa,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,FJJMKH,1992,Lampung - Kota Bandar Lampung,Perempuan,Orangtua,3-5,Ibu,Indonesia,Jawa,,Indonesia,Indonesia,Indonesia,"Tegal, Jawa Tengah",S1,#NAME?,Lampung - Kota Bandar Lampung,,Islam,1963,,
,,,,,,,Bapak,Indonesia,Padang,Indonesia,Indonesia,Indonesia,Indonesia,Padang,S1,#NAME?,Lampung - Kota Bandar Lampung,PNS,Islam,1963,,
,,,,,,,Ibu dari ibu,Jawa,Jawa,,Jawa,"Jawa, Indonesia","Jawa, Indonesia",,,Jawa Tengah - Kabupaten Tegal, ,,Islam,,,
,,,,,,,Bapak dari ibu,,,,,,,,, ,#NAME?,,Islam,,,
,,,,,,,Ibu dari bapak,,,,,,,,, ,Lampung,,Islam,,,
,,,,,,,Bapak dari bapak,,,,,,,,, ,#NAME?,,Islam,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,MUILUC,1994,Lampung - Kota Bandar Lampung,Perempuan,Orangtua,6-12,Ibu,Indonesia,"Palembang, Jawa",Bandar Lampung,Indonesia,Indonesia,Indonesia,Palembang,S1,Lampung - Kota Bandar Lampung,Lampung - Kota Bandar Lampung,PNS,Islam,1955,Indonesia,"Jawa, English"
,,,,,,,Bapak,Indonesia,Palembang,Bandar Lampung,Indonesia,Indonesia,Indonesia,Palembang,S II,Lampung - Kota Bandar Lampung,Lampung - Kota Bandar Lampung,PNS,Islam,1952,Indonesia,Palembang
,,,,,,,Ibu dari ibu,Almarhum,,,,,,Palembang,,Lampung, ,,Islam,,Palembang,Palembang
,,,,,,,Bapak dari ibu,Almarhum,,,,,,Palembang,,Lampung, ,Tentara,Islam,,Palembang,Palembang
,,,,,,,Ibu dari bapak,Almarhum,,,,,,Palembang,,Lampung, ,,Islam,,Palembang,Palembang
,,,,,,,Bapak dari bapak,Almarhum,,,,,,Palembang,,Lampung, ,,Islam,,Palembang,Palembang
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,ZKOQBQ,1994,Lampung - Kota Bandar Lampung,Laki,Orangtua,lebih dari 24,Ibu,Indonesia,Lampung,Indonesia,Lampung,Lampung,Lampung,Lampung,D4,Lampung,Lampung,PNS,Islam,1968,Indonesia,Lampung
,,,,,,,Bapak,Indonesia,Lampung,Indonesia,Lampung,Lampung,Lampung,Lampung,S2,Lampung,Lampung,Swasta,Islam,1964,Indonesia,Lampung
,,,,,,,Ibu dari ibu,Lampung,Lampung,Indonesia,Lampung,Lampung,Lampung,Lampung,,Lampung,Lampung,PNS,Islam,1940,Indonesia,Lampung
,,,,,,,Bapak dari ibu,Lampung,Lampung,Indonesia,Lampung,Lampung,Lampung,Lampung,,Lampung,Lampung,PNS,Islam,1940,Indonesia,Lampung
,,,,,,,Ibu dari bapak,Lampung,Lampung,Indonesia,Lampung,Lampung,Lampung,Lampung,,Lampung,Lampung,PNS,Islam,1940,Indonesia,Lampung
,,,,,,,Bapak dari bapak,Lampung,Lampung,Indonesia,Lampung,Lampung,Lampung,Lampung,,Lampung,Lampung,PNS,Islam,1940,Indonesia,Lampung
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,IQMYDF,1994,Lampung - Kecamatan Natar,Perempuan,Orangtua,3-5,Ibu,Indonesia,Semendo,,Indonesia,Indonesia,Indonesia,Semendo,SMA,#NAME?,Lampung - Kecamatan Natar,Ibu rumah tangga,Islam,1970,,
,,,,,,,Bapak,Indonesia,Jawa,Indonesia,Indonesia,Indonesia,Indonesia,Jawa,SMA,Lampung - Teluk Betung,Lampung - Kecamatan Natar,Supir,Islam,1963,,
,,,,,,,Ibu dari ibu,,,,,,,Semendo,, , ,,Islam,,,
,,,,,,,Bapak dari ibu,,,,,,,Semendo,, , ,,Islam,,,
,,,,,,,Ibu dari bapak,,,,,,,Jawa,, ,Lampung - Teluk Betung,,Islam,,,
,,,,,,,Bapak dari bapak,,,,,,,Jawa,, , ,,Islam,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,NJDMHY,1994,Lampung - Kabupaten Lampung Selatan,Laki,Orangtua,3-5,Ibu,Indonesia,,Indonesia,Indonesia,Palembang,Palembang,Palembang,SMA,#NAME?,Lampung - Kabupaten Lampung Selatan,Wiraswasta,Islam,1965,Palembang,Indonesia
,,,,,,,Bapak,Indonesia,,Indonesia,Indonesia,Palembang,Palembang,Palembang,Mahasiswa,Sumatera Selatan - Kota Palembang,Lampung - Kabupaten Lampung Selatan,Wiraswasta,Islam,1964,Palembang,Indonesia
,,,,,,,Ibu dari ibu,,,,Palembang,,,Palembang,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,Palembang,,,Palembang,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,Palembang,,,Palembang,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,Palembang,,,Palembang,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,RRTDVR,1994,Lampung - Kota Bandar Lampung,Perempuan,Parents,1-2,Ibu,Indonesia,Palembang,Indonesia,Indonesia,Indonesia,"Indonesia, Palembang",Palembang,S1,Lampung,Lampung,PNS,Islam,1963,Indonesia,Palembang
,,,,,,,Bapak,Indonesia,Jawa,Indonesia,Indonesia,Indonesia,"Indonesia, Jawa",Jawa,S2,jawa,Lampung,PNS,Islam,1959,Indonesia,Jawa
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,Jawa
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,GEEESM,1994,Lampung - Kota Kota Bumi,Laki,Orangtua,3-5,Ibu,Indonesia,Sunda,Indonesia,Indonesia,Indonesia,Sunda,Sunda,D3,Lampung - Negararatu,Lampung - Negararatu,Guru,Islam,1960,Indonesia,"Sunda, Jawa"
,,,,,,,Bapak,Indonesia,Lampung,Kebun,"Jawa, Sunda, Lampung",Indonesia,Indonesia,Lampung,SMA,#NAME?,Lampung - Negararatu,Pensiun,Islam,1952,Indonesia,"Lampung, Jawa, Sunda"
,,,,,,,Ibu dari ibu,,,,,,,,,,,,,,Lampung,Lampung
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,Lampung,Lampung,Lampung,Lampung,Lampung,Lampung,Lampung,,Lampung,#NAME?,,Islam,1920,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,IYZRYB,1994,Lampung - Kabupaten Pringsewu,Perempuan,Orangtua,3-5,Ibu,,Batak,,Indonesia,Indonesia,Indonesia,Batak,SPG,Sumatera Utara - Kota Tanjungbalai,,Guru,Kristen (Protestan),1960,Batak,Indonesia
,,,,,,,Bapak,Indonesia,Batak,Indonesia,Indonesia,Indonesia,Batak,Batak,SPN Bintara,Sumatera Utara - Kabupaten Tapanuli Utara,Lampung - Kabupaten Pringsewu,POLRI,Kristen (Protestan),1958,Batak,Indonesia
,,,,,,,Ibu dari ibu,,,,,,,Batak,, , ,,Kristen (Protestan),,Batak,Indonesia
,,,,,,,Bapak dari ibu,,,,,,,Batak,, , ,,Kristen (Protestan),,Batak,Indonesia
,,,,,,,Ibu dari bapak,,,,,,,Batak,, , ,,Kristen (Protestan),,Batak,Indonesia
,,,,,,,Bapak dari bapak,,,,,,,Batak,, , ,,Kristen (Protestan),,Batak,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,IFYWQY,1995,Lampung - Kota Bandar Lampung,Perempuan,Orangtua,lebih dari 24,Ibu,,,,,,,Lampung,S1, , ,PNS,Islam,1969,,
,,,,,,,Bapak,,,,,,,Lampung,S1, , ,PNS,Islam,1968,,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,MHWDRI,1995,Lampung - Kabupaten Pesawaran,Perempuan,Sendiri/ Ngekost,6-12,Ibu,Indonesia,Indonesia,Indonesia,"Sunda, Indonesia",Indonesia,Sunda,Sunda,SLTA,Lampung,Lampung - Kabupaten Pesawaran,Ibu rumah tangga,Islam,1987,"Sunda, Indonesia",Indonesia
,,,,,,,Bapak,Indonesia,Indonesia,Indonesia,"Lampung, Indonesia",Indonesia,Lampung,Lampung,SLTA,Lampung,Lampung - Kabupaten Pesawaran,Anggota DPR,Islam,1982,Indonesia,Indonesia
,,,,,,,Ibu dari ibu,Indonesia,Padang,Indonesia,Indonesia,Indonesia,Indonesia,Padang,SMA,Jawa Tengah - Kabupaten Semarang,Lampung,Ibu rumah tangga,Islam,1950,Indonesia,Sunda
,,,,,,,Bapak dari ibu,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,SMA,Lampung,Lampung,Petani,Islam,1940,Sunda,Sunda
,,,,,,,Ibu dari bapak,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,SMP,Lampung,Lampung,Ibu rumah tangga,Islam,1940,Sunda,Sunda
,,,,,,,Bapak dari bapak,Lampung,Lampung,Lampung,Lampung,Sunda,Lampung,Lampung,SMA,Lampung,Lampung,Wiraswasta,Islam,1930,Lampung,Sunda
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,XMOZZV,1994,Sumatera Selatan - Kota Palembang,Perempuan,Orangtua,1-2,Ibu,Palembang,Palembang,PT PPI,Palembang,,Palembang,Sumatra,SMA,Sumatera Selatan - Kota Palembang,Sumatera Selatan - Kota Palembang,BUMN,Islam,1964,Palembang,Indonesia
,,,,,,,Bapak,Palembang,Palembang,PT PPI,Palembang,,Palembang,"Jawa, Palembang",SMA,Sumatera Selatan - Kota Palembang,Sumatera Selatan - Kota Palembang,BUMN,Islam,1960,Palembang,Indonesia
,,,,,,,Ibu dari ibu,Palembang,Palembang,Palembang,Palembang,,Palembang,Betawi,SD,Bengkulu,Sumatera Selatan - Kota Palembang,Ibu RT,Islam,1944,Palembang,Indonesia
,,,,,,,Bapak dari ibu,Palembang,Palembang,Palembang,Palembang,,Palembang,Palembang,SMA,Sumatera Selatan - Kota Palembang,Sumatera Selatan - Kota Palembang,Pengadaian,Islam,1940,Jawa,Indonesia
,,,,,,,Ibu dari bapak,Palembang,Palembang,Palembang,Palembang,,Palembang,Jawa,,jawa,Sumatera Selatan - Kota Palembang,,Islam,1945,Jawa,
,,,,,,,Bapak dari bapak,Palembang,Palembang,Palembang,Palembang,,Palembang,Jawa,,Sumatera Selatan - Kota Palembang,Sumatera Selatan - Kota Palembang,,Islam,1939,Palembang,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Jawa,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,OXFVYK,1995,Gorontalo - Kabupaten Gorontalo,Perempuan,Ayah dan Ibu,1-2,Ibu,Indonesia,Jawa,Indonesia,Indonesia,Indonesia,Indonesia,Gorontalo,SMA,Gorontalo - Kabupaten Gorontalo,Gorontalo - Kabupaten Gorontalo,Wirausaha,Islam,1955,Indonesia,Gorontalo
,,,,,,,Bapak,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Arab,S2,DKI Jakarta - Jakarta,Gorontalo - Kabupaten Gorontalo,Pengawai Negeri,Islam,1952,Indonesia,Gorontalo
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Sunda,SMA, , ,,Islam,1930,Sunda,Jawa
,,,,,,,Bapak dari ibu,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Jawa,sma, , ,,Islam,1930,Jawa,Indonesia
,,,,,,,Ibu dari bapak,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Gorontalo,SMA, , ,,Islam,1929,Jawa,Indonesia
,,,,,,,Bapak dari bapak,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Arab,SMA, , ,,Islam,1930,Indonesia,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Indonesia,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,YKFIJB,1994,Lampung - Kota Bandar Lampung,Perempuan,Orangtua,12-24,Ibu,Indonesia,Jawa,,Indonesia,Indonesia,"Jawa, Indonesia",Jawa,SMA,Jawa Timur - Kota Surabaya,Lampung - Kota Bandar Lampung,Ibu rumah tangga,Islam,1965,Indonesia,Jawa
,,,,,,,Bapak,Indonesia,"Indonesia, Cina",Indonesia,Indonesia,Indonesia,"China, Indonesia",Chinese,SMA,Jawa Timur - Kota Surabaya,Lampung - Kota Bandar Lampung,Ibu rumah tangga,Islam,1963,Indonesia,Cina
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,Cina
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,EEBSVX,1994,Lampung - Kota Bandar Lampung,Perempuan,Orangtua,6-12,Ibu,Indonesia,Jawa,Indonesia,Indonesia,Indonesia,Jawa,Jawa,S1,jawa,Lampung - Kota Bandar Lampung,PNS,Islam,1963,Jawa,Indonesia
,,,,,,,Bapak,Indonesia,Palembang,Indonesia,Indonesia,Indonesia,Indonesia,"Palembang, Betawi",S2,#NAME?,Lampung - Kota Bandar Lampung,PNS,Islam,1961,Palembang,Indonesia
,,,,,,,Ibu dari ibu,,,,,,,Jawa,S1,jawa,jawa,Perawat,Islam,,Palembang,
,,,,,,,Bapak dari ibu,,,,,,,Jawa,,jawa,jawa,Pengusaha,Islam,,Jawa,
,,,,,,,Ibu dari bapak,,,,,,,Betawi,S1,DKI Jakarta - Jakarta, ,Perawat,Islam,,Jawa,
,,,,,,,Bapak dari bapak,,,,,,,Palembang,S1,Sumatera Selatan - Kota Palembang,Lampung,Akuntan,Islam,,Betawi,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Betawi,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,Palembang,
Lampung-unila-januari-2014,YJEHOS,1994,DKI Jakarta - Kota Administrasi Jakarta Barat,Perempuan,Orangtua,lebih dari 24,Ibu,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Lampung,S2,Lampung,DKI Jakarta - Jakarta,PNS,Islam,1966,Indonesia,Inggris
,,,,,,,Bapak,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,"Betawi, Lampung",D3,DKI Jakarta - Jakarta,DKI Jakarta - Jakarta,Wiraswasta,Islam,1965,Indonesia,Lampung
,,,,,,,Ibu dari ibu,,,,,,,Lampung,,Lampung,Lampung,,Islam,,Indonesia,Lampung
,,,,,,,Bapak dari ibu,,,,,,,Lampung,,Lampung,Lampung,,Islam,,Indonesia,Lampung
,,,,,,,Ibu dari bapak,,,,,,,Betawi,,DKI Jakarta - Jakarta,DKI Jakarta - Jakarta,,Islam,,Indonesia,Betawi
,,,,,,,Bapak dari bapak,,,,,,,Lampung,,#NAME?,DKI Jakarta - Jakarta,,Islam,,Indonesia,Betawi
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,Lampung
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,UQMIBG,1987,Lampung - Kota Bandar Lampung,Perempuan,Orangtua,3-5,Ibu,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Lampung,SMA,Lampung - Kota Bandar Lampung,Lampung - Kota Bandar Lampung,PNS,Islam,1959,Indonesia,Lampung
,,,,,,,Bapak,Indonesia,Indonesia,"Inggris, Indonesia",Indonesia,Indonesia,Indonesia,Bengkulu,D3,Lampung - Kota Bandar Lampung,Lampung - Kota Bandar Lampung,PNS,Islam,1956,Indonesia,"Lampung, Bengkulu, Inggris"
,,,,,,,Ibu dari ibu,Lampung,Lampung,Indonesia,"Lampung, Indonesia",Indonesia,"Lampung, Indonesia",Lampung,Sekolah Guru,Lampung,Lampung,Guru,Islam,,Lampung,"Lampung, Bengkulu, Inggris"
,,,,,,,Bapak dari ibu,"Indonesia, Lampung","Lampung, Indonesia",Indonesia,"Indonesia, Lampung","Indonesia, Lampung","Indonesia, Lampung",Lampung,Sekolah Guru,Lampung,Lampung,Guru,Islam,,Lampung,Indonesia
,,,,,,,Ibu dari bapak,,,,,,,Bengkulu,,Lampung,Lampung,Ibu rumah tangga,Islam,,Indonesia,Indonesia
,,,,,,,Bapak dari bapak,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Bengkulu,,Lampung,Lampung,Wiraswasta,Islam,,Indonesia,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,Indonesia
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Lampung-unila-januari-2014,GDSGSC,1994,Lampung - Kota Bandar Lampung,Perempuan,Orangtua,1-2,Ibu,Indonesia,Sunda,Rumah,Indonesia,Indonesia,Indonesia,Sunda,SMP,Jawa Barat - Kabupaten Cirebon,Lampung - Kota Bandar Lampung,IRT,Islam,1964,Indonesia,Sunda
,,,,,,,Bapak,"Indonesia, Palembang",Palembang,Bulog,Indonesia,Indonesia,Palembang,Palembang,SMA,Lampung - Kota Bandar Lampung,Lampung - Kota Bandar Lampung,Pengawai Negeri Swasta,Islam,1959,"Indonesia, Palembang",Palembang
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,"Indonesia, Palembang",Palembang
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,IKKKRA,1994,Jawa Timur - Lamongan,Laki,"Orang tua, Keluarga",6-12,Ibu,"Jawa Madya, Krama","Ngoko, Madya, Krama","Jawa Madya, Krama","Jawa Madya, Krama",Madya,Madya,Jawa,"MTs, SMP",Jawa Timur - Lamongan,Jawa Timur - Lamongan,Ibu rumah tangga,Islam,1972,Madya,Indonesia
,,,,,,,Bapak,"Ngoko, Madya, Krama",Sunda,Jawa Ngoko,"Ngoko, Madya, Krama",Madya,"Jawa Ngoko, Jawa Madya",Sunda,SD,Jawa Barat - Kabupaten Bandung,Jawa Timur - Lamongan,Petani,Islam,1965,Sunda,Indonesia
,,,,,,,Ibu dari ibu,Krama,"Jawa Ngoko, Jawa Madya",Madya,Madya,Krama,Madya,Jawa,MTs,Jawa Timur - Lamongan,Jawa Timur - Lamongan,Tani,Islam,,Sunda,
,,,,,,,Bapak dari ibu,Krama,"Jawa Ngoko, Jawa Madya",Madya,Madya,Krama,Madya,Jawa,SD,Jawa Timur - Lamongan,Jawa Timur - Lamongan,Tani,Islam,,"Ngoko, Madya, Krama",
,,,,,,,Ibu dari bapak,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,SD,Jawa Barat - Kabupaten Bandung,Jawa Timur - Lamongan,Tani,Islam,,"Ngoko, Madya, Krama",
,,,,,,,Bapak dari bapak,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,SD,Jawa Barat - Kabupaten Bandung,Jawa Timur - Lamongan,Tani,Islam,,Sunda,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Sunda,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,RLQHZP,1996,Jawa Timur - Kabupaten Trenggalek,Perempuan,Orang tua,6-12,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,SMP,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Trenggalek,Petani,Islam,1976,"Jawa, Trenggalek",
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,Paket C,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Trenggalek,Petani,Islam,1970,"Jawa, Trenggalek",
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,SD,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Trenggalek,Petani,Islam,1955,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,SD,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Trenggalek,Petani,Islam,1949,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,SD,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Trenggalek,Petani,Islam,1955,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,SD,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Trenggalek,Petani,Islam,1948,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,NISCSP,1996,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Perempuan,keluarga,lebih dari 24,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,"SD, MI",Daerah Istimewa Yogyakarta - Kabupaten Sleman,Daerah Istimewa Yogyakarta - Kabupaten Sleman,pedagang,Islam,1961,Jawa Ngoko,Jawa Krama
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,"SD, MI",Daerah Istimewa Yogyakarta - Kabupaten Sleman,Daerah Istimewa Yogyakarta - Kabupaten Sleman,buruh lepas,Islam,1957,Jawa Ngoko,Jawa Krama
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Daerah Istimewa Yogyakarta - Kabupaten Sleman,petani,Islam,1942,Jawa Ngoko,Jawa Krama
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Daerah Istimewa Yogyakarta - Kabupaten Sleman,buruh,Islam,1935,Jawa Ngoko,Jawa Krama
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Daerah Istimewa Yogyakarta - Kabupaten Sleman,pedangang,Islam,1940,Jawa Ngoko,Jawa Krama
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Daerah Istimewa Yogyakarta - Kabupaten Sleman,buruh,Islam,1930,Jawa Ngoko,Jawa Krama
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,OYLTSE,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Perempuan,orang tua,3-5,Ibu,Jawa,Jawa,Jawa,Jawa,Krama Inggil,Jawa,Jawa,SD,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Ibu rumah tangga,Islam,1975,Jawa,Indonesia
