session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs
GAKLXB,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Perempuan,Orang Tua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,SMA,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Buruh,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,SMA,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Buruh,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa,
QUIVQY,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Perempuan,Orang Tua,12-24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,SD,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Buruh,Islam,1974,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,SMA,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Buruh,Islam,1955,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Petani,Islam,1948,Jawa,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
UMOJTS,1996,Jawa Timur - Kabupaten Ngawi,Perempuan,Orang Tua,lebih dari 24,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,S2,Jawa Timur - Kabupaten Kediri,Jawa Timur - Kabupaten Ngawi,Guru,Islam,1971,Jawa,,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,S1,Jawa Timur - Kabupaten Nganjuk,Jawa Timur - Kabupaten Ngawi,Guru,Islam,1968,Jawa,,Jawa,Jawa,,Jawa,,Jawa,Jawa,, ,Jawa Timur - Kabupaten Kediri,,Islam,,Jawa,,,,,,,,Jawa,, , ,Guru,Islam,,Jawa,,,,,,,,Jawa,, , ,,Islam,,Jawa,,Jawa,Jawa,,Jawa,,Jawa,Jawa,, ,Jawa Timur - Kabupaten Nganjuk,,Islam,,Jawa,
VHQYOU,1995,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Perempuan,Orang Tua,6-12,Jawa,Jawa,,Jawa Krama alus,Jawa Ngoko,Jawa Krama alus,Jawa,SD,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Ibu rumah tangga,Islam,,Jawa,,Jawa,Jawa,,Jawa Krama alus,Jawa Ngoko,Jawa Krama alus,Jawa,SMP,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Sopir,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, ,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, ,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Petani,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, ,Daerah Istimewa Yogyakarta - Kabupaten Sleman,,Islam,,Jawa,
DKPJYP,1995,Jawa Tengah - Kabupaten Banyumas,Perempuan,Orang Tua,1-2,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,SMP,#NAME?, ,IRT,Islam,1977,Jawa,Indonesia,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,SMA, , ,Pengusaha,Islam,1950,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, Indonesia,Indonesia,IRT,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Indonesia,Indonesia,Petani,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Indonesia,Indonesia,IRT,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Indonesia,Indonesia,Pengusaha,Islam,,Jawa,Indonesia
HOGQOJ,1994,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Ibu rumah tangga,Islam,1974,Jawa,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD, Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Petani,Islam,1972,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Petani,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Petani,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Petani,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Petani,Islam,,Jawa,Jawa
LWRUWA,1994,Jawa Timur - Kabupaten Jombang,Perempuan,Orangtua,3-5,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,S1,Jawa Timur - Kabupaten Madiun,Jawa Timur - Kabupaten Jombang,PNS,Islam,1961,Jawa,Indonesia,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,SLTA/SMP,Jawa Timur - Kabupaten Pacitan,Jawa Timur - Kabupaten Jombang,PNS,Islam,1957,Jawa,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
IWLMNX,1994,Jawa Timur - Kabupaten Tuban,Perempuan,Keluarga,12-24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban, Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,SD,,Jawa,Jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
SYUQOI,1993,Jawa Timur - Kota Blitar,Perempuan,"Ibu, bapak",6-12,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tulungagung,Jawa Timur - Kabupaten Blitar,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kota Blitar,Jawa Timur - Kota Blitar,,Islam,,Jawa,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
SZIVDA,1994,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Ibu rumah tangga,Islam,1975,Jawa,Jawa,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,S1,Jawa Timur - Kabupaten Kediri,Jawa Timur - Kabupaten Lamongan,Guru,Islam,1956,Jawa,Indonesia,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Petani,Islam,1950,Jawa,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Petani,Islam,1943,Jawa,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Malang,Jawa Timur - Kabupaten Kediri,Petani,Islam,1941,Jawa,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Kediri,Jawa Timur - Kabupaten Kediri,Petani,Islam,1941,Jawa,Jawa
NRAETB,1995,Jawa Timur - Kota Surabaya,Perempuan,Orangtua,lebih dari 24,"Indonesia, Jawa",Jawa,Rumah,"Indonesia, Jawa",Indonesia,Jawa,Jawa,SMA,Jawa Tengah - Kota Semarang,Jawa Timur - Kota Surabaya,Ibu rumah tangga,Kristen (Protestan),1968,Indonesia,Jawa,"Indonesia, Manado",Manado,Kapal,Indonesia,Indonesia,Manado,Manado,SMA,Sulawesi Utara - Kota Manado,Jawa Timur - Kota Surabaya,Ibu rumah tangga,Kristen (Protestan),1960,Manado,Indonesia,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kota Semarang,Jawa Tengah - Kabupaten Semarang,,Kristen (Protestan),,Jawa,,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kota Semarang, Jawa Tengah - Kabupaten Semarang,,Kristen (Protestan),,Jawa,,Manado,Manado,,Manado,Surabaya,Manado,Manado,,Sulawesi Utara - Kota Manado,Sulawesi Utara - Kota Manado,,Kristen (Protestan),,Manado,,Manado,Manado,,Manado,Manado,Manado,Manado,,Sulawesi Utara - Kota Manado,Sulawesi Utara - Kota Manado,,Kristen (Protestan),,Manado,
JZEFLR,1992,Jawa Timur - Kota Malang,Perempuan,"Ibu, Ayah, adik",lebih dari 24,"Sunda, Jawa, Indonesia",Sunda,"Indonesia, Jawa","Jawa, Indonesia",Indonesia,Sunda,Sunda,SMA,Jawa Barat - Kabupaten Subang,Jawa Timur - Kabupaten Malang,Ibu rumah tangga,Islam,1970,Sunda,"Sunda Banten, Jawa Barat","Jawa, Batak","Jawa, Batak",Indonesia,Indonesia,Indonesia,"Jawa, Batak","Jawa, Batak",D3,Jawa Timur - Kota Surabaya,Jawa Timur - Kabupaten Malang,Pegawai swasta,Islam,1965,Jawa,Batak,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
BTUMXS,1995,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,3-5,Jawa Inggil,Jawa Krama Inggil,Sidayu,Jawa Inggil,Jawa Inggil,Jawa Inggil,Jawa,S1,Jawa Timur - Kecamatan Bungah,Jawa Timur - Kecamatan Bungah,Guru,Islam,,Jawa,Indonesia,Jawa Inggil,Jawa Krama Inggil,Bungah,Jawa Inggil,Jawa Inggil,Jawa Inggil,Jawa,S2,Jawa Tengah - Kabupaten Jepara,Jawa Timur - Kecamatan Bungah,Guru,Islam,,Jawa,Indonesia,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,
GSKASE,1994,Jawa Timur - Kota Blitar,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMEA,Jawa Timur - Kota Kediri,Jawa Timur - Kota Blitar,Ibu rumah tangga,Islam,1963,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,STM,Jawa Timur - Kota Blitar,Jawa Timur - Kabupaten Blitar,PNS,Islam,1958,Jawa,Indonesia,,,,,,,Jawa,,Jawa Timur - Kabupaten Kediri,Jawa Timur - Kabupaten Kediri,,Islam,,Jawa,Jawa,,,,,,,Jawa,,Jawa Timur - Kabupaten Kediri,Jawa Timur - Kabupaten Kediri,,Islam,,Jawa,Jawa,,,,,,,Jawa,,Jawa Timur - Kabupaten Blitar,Jawa Timur - Kabupaten Blitar,,Islam,,Jawa,Jawa,,,,,,,Jawa,,Jawa Timur - Kabupaten Blitar,Jawa Timur - Kabupaten Blitar,,Islam,,Jawa,Jawa
TPNDZS,1994,Jawa Timur - Kabupaten Ponorogo,Perempuan,Orangtua,12-24,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Ponorogo,Jawa Timur - Kabupaten Ponorogo,,Islam,1965,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Ponorogo, Jawa Timur - Kabupaten Ponorogo,Petani,Islam,1959,Jawa,,Jawa,,,,,Jawa,Jawa,, ,Jawa Timur - Kabupaten Ponorogo,,Islam,,Jawa,,,,,,,,Jawa,, , ,,Islam,,Jawa,,,,,,,,Jawa,, , ,,Islam,,Jawa,,,,,,,,Jawa,, , ,,Islam,,Jawa,
LEGKRG,1994,Jawa Timur - Kabupaten Bojonegoro,Perempuan,Orangtua,6-12,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro,Wirawasta,Islam,1974,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro,PNS,Islam,1975,Indonesia,Jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
RREPQM,1994,Jawa Timur - Kabupaten Sampang,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Indonesia,Madura,Jawa,Jawa,SD,Jawa Tengah - Kota Magelang,Jawa Timur - Kabupaten Sampang,Wiraswasta,Islam,1969,Jawa,Madura,Madura,Madura,Madura,Madura,Madura,Madura,Madura,STM,Jawa Timur - Kabupaten Sampang,Jawa Timur - Kabupaten Sampang,Wiraswasta,Islam,1954,Madura,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
NANVPZ,1994,Jawa Timur - Kabupaten Pamekasan,Perempuan,Orangtua,1-2,Madura,Jawa,,Madura,Madura,Jawa,Jawa,SD,Jawa Timur - Kabupaten Jombang,Jawa Timur - Madura,Ibu rumah tangga,Islam,1968,Jawa,Madura,Madura,Madura,Indonesia,Madura,Madura,Madura,Madura,S1,#NAME?,Jawa Timur - Madura,Guru SMA,Islam,1952,Madura,Jawa,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,,,,,,,,Madura,, , ,,,,,,,,,,,,Madura,, , ,,,,,
HBFZVU,1994,Jawa Timur - Kota Surabaya,Perempuan,Orangtua,3-5,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,Wiraswasta,Islam,1970,Jawa,Indonesia,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Magetan,Jawa Timur - Kota Surabaya,Wiraswasta,Islam,1960,Jawa,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
ZRBFLG,1995,Jawa Timur - Kota Surabaya,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMEA,Jawa Timur - Kota Kediri,Jawa Timur - Kota Surabaya,Ibu rumah tangga,Islam,1971,Jawa,Indonesia,Jawa,Indonesia,Indonesia,Jawa,Jawa,Jawa,Jawa,STM,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,Pegawai swasta,Islam,1961,Jawa,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
ZBXAZH,1995,Jawa Timur - Kota Pasuruan,Perempuan,Orangtua,lebih dari 24,"Jawa, Indonesia",Jawa,Indonesia,Jawa,Indonesia,Jawa,Jawa,Sarjana Hukum,Jawa Tengah - Purwokerto,Jawa Timur - Kota Pasuruan,PNS,Islam,1963,Jawa,Indonesia,"Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,Indonesia,Jawa,Jawa,Sarjana Teknik,Jawa Timur - Tanggulangin,Jawa Timur - Kota Pasuruan,Swasta,Islam,1963,Jawa,"Indonesia, Inggris",,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
RPTPRL,1994,Jawa Timur - Kabupaten Pamekasan,Perempuan,Orangtua,,Madura,Madura,Madura,Madura,Madura,Madura,Madura,SMP,#NAME?,#NAME?,Ibu rumah tangga,Islam,1965,Madura,Indonesia,Madura,Madura,Madura,Madura,Madura,Madura,Madura,SD,#NAME?,#NAME?,Pedagang,Islam,1962,Madura,Indonesia,,,,,,,Madura,, , ,,Islam,,Madura,Indonesia,,,,,,,Madura,, , ,,Islam,,Madura,Indonesia,,,,,,,Madura,, , ,,Islam,,Madura,Indonesia,,,,,,,Madura,, , ,,Islam,,Madura,Indonesia
WEUNBE,1993,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,3-5,Jawa,Jawa,,Indonesia,Jawa,"Jawa, Indonesia",,SMA,Jawa Timur - Kabupaten Ngawi,Jawa Timur - Kabupaten Gresik,,Islam,1977,Jawa,Indonesia,Jawa,Jawa,Indonesia,Indonesia,Jawa,Indonesia,,SMA,Jawa Timur - Kabupaten Ponorogo,Jawa Timur - Kabupaten Gresik,Swasta,Islam,1967,Jawa,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
EORYKP,1995,Lampung - Kabupaten Lampung Timur,Laki,Orangtua,1-2,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,, Lampung,Lampung - Kabupaten Lampung Timur,,Islam,,Jawa,,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,,Jawa,Lampung - Kabupaten Lampung Timur,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa,Lampung - Kabupaten Lampung Timur,Tani,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa,Lampung - Kabupaten Lampung Timur,Petani,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa,Lampung - Kabupaten Lampung Timur,Petani,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa,Lampung - Tulung agung,Petani,Islam,,Jawa,
UHVLMF,1993,Jawa Timur - Kabupaten Malang,Laki,Orangtua,lebih dari 24,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Jawa,Jawa,SMA,Jawa Timur - Kabupaten Pasuruan,Jawa Timur - Kota Malang,Wiraswasta,Islam,1973,Jawa,Indonesia,"Indonesia, Jawa",Jawa,Indonesia,Indonesia,"Indonesia, Jawa",Jawa,Jawa,SMA,Jawa Timur - Kabupaten Malang,Jawa Timur - Kabupaten Malang,Wiraswasta,Islam,1963,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Kediri, ,Swasta,Islam,,Jawa,Jawa,Jawa,Madura,Jawa,Jawa,Jawa,"Jawa, Madura",Madura,,Jawa Timur - Kabupaten Pasuruan, ,Swasta,Islam,,Jawa,Madura,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Malang, ,Swasta,Islam,,Jawa,Madura,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Bangil, ,Swasta,Islam,,Jawa,Jawa
ISGOTR,1994,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,3-5,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,D3,Jawa Timur - Kota Surabaya,Jawa Timur - Kabupaten Gresik,Ibu rumah tangga,Islam,1967,Jawa,Indonesia,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,SMP,#NAME?,Jawa Timur - Kabupaten Gresik,TNI-AL,Islam,1965,Jawa,Indonesia,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Bali - Kota Denpasar,Jawa Timur - Kota Surabaya,Pedagang,Islam,,Jawa,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,TNI-AL,Islam,,Jawa,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Ngawi,Jawa Timur - Kabupaten Ngawi,Buruh Tani,Islam,,Jawa,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Ngawi,Jawa Timur - Kabupaten Ngawi,Petani,Islam,,Jawa,Jawa
GNCASV,1994,Jawa Timur - Kabupaten Lamongan,Perempuan,Orang tua ,3-5,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,"Indonesia, Jawa",Jawa,SMA,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,1975,Jawa,,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,"Indonesia, Jawa",Jawa,SMA,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,1965,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,,Jawa,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
IOPCGS,1994,Jawa Timur - Kota Blitar,Perempuan,Orangtua,3-5,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD, Jawa Tengah,Jawa Timur,Wiraswasta,Islam,1971,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Indonesia,Jawa,Jawa,SD, Jawa Timur,Jawa Timur,Wiraswasta,Islam,1961,Jawa,"Indonesia, Arab",Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah,Jawa Tengah,,Islam,,Jawa,Indonesia,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah,Jawa Tengah,,Islam,,Jawa,Indonesia,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur,Jawa Timur,,Islam,,Jawa,Indonesia,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur,Jawa Timur,,Islam,,Jawa,Indonesia
