Comments_Page1,Session_token,Person_ID,Year_of_birth,Location_grew_up,Sex,Lived_with_who_when_growing_up,Comments_page5,z_calc_Button_label_locations_list,z_calc_Count_other_people,kinships::z_calc_Beliau_label,kinships::z_calc_Where_label,kinships::z_calc_With_who_label,other_people::Ethnicity,other_people::Kinship_type,other_people::Language_used_at_home_now,other_people::Language_used_at_home_when_young,other_people::Language_used_at_home_at_workplace,other_people::Language_used_at_home_with_neighbours,other_people::Language_used_at_home_with_partner,other_people::Language_used_at_home_with_relatives,other_people::Last_level_of_education,other_people::Location_grewup,other_people::Location_of_home,other_people::Profession,other_people::Religion,other_people::Year_of_birth,other_peoples_languages_FirstLanguage::Language_name,other_peoples_languages_OtherLanguages::Language_name
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Magetan,Jawa Timur - Kota Surabaya,Wiraswasta,Islam,1960,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,ZRBFLG,1.50521E+23,1995,Jawa Timur - Kota Surabaya,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMEA,Jawa Timur - Kota Kediri,Jawa Timur - Kota Surabaya,Ibu rumah tangga,Islam,1971,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Indonesia,Indonesia,Jawa,Jawa,Jawa,STM,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,Pegawai swasta,Islam,1961,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,ZBXAZH,1.50521E+23,1995,Jawa Timur - Kota Pasuruan,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,"Jawa, Indonesia",Jawa,Indonesia,Jawa,Indonesia,Jawa,Sarjana Hukum,Jawa Tengah - Purwokerto,Jawa Timur - Kota Pasuruan,PNS,Islam,1963,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,"Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,Indonesia,Jawa,Sarjana Teknik,Jawa Timur - Tanggulangin,Jawa Timur - Kota Pasuruan,Swasta,Islam,1963,Jawa,"Indonesia, Inggris"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,RPTPRL,1.50521E+23,1994,Jawa Timur - Kabupaten Pamekasan,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Madura,Ibu,Madura,Madura,Madura,Madura,Madura,Madura,SMP,#NAME?,#NAME?,Ibu rumah tangga,Islam,1965,Madura,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Madura,Bapak,Madura,Madura,Madura,Madura,Madura,Madura,SD,#NAME?,#NAME?,Pedagang,Islam,1962,Madura,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Madura,Ibu dari ibu,,,,,,,, , ,,Islam,,Madura,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Madura,Bapak dari ibu,,,,,,,, , ,,Islam,,Madura,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Madura,Ibu dari bapak,,,,,,,, , ,,Islam,,Madura,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Madura,Bapak dari bapak,,,,,,,, , ,,Islam,,Madura,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,WEUNBE,1.50521E+23,1993,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,Jawa,Jawa,,Indonesia,Jawa,"Jawa, Indonesia",SMA,Jawa Timur - Kabupaten Ngawi,Jawa Timur - Kabupaten Gresik,,Islam,1977,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,Jawa,Jawa,Indonesia,Indonesia,Jawa,Indonesia,SMA,Jawa Timur - Kabupaten Ponorogo,Jawa Timur - Kabupaten Gresik,Swasta,Islam,1967,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,EORYKP,1.50521E+23,1995,Lampung - Kabupaten Lampung Timur,Laki,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,, Lampung,Lampung - Kabupaten Lampung Timur,,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,,Jawa,Lampung - Kabupaten Lampung Timur,,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa,Lampung - Kabupaten Lampung Timur,Tani,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa,Lampung - Kabupaten Lampung Timur,Petani,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa,Lampung - Kabupaten Lampung Timur,Petani,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa,Lampung - Tulung agung,Petani,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,UHVLMF,1.50521E+23,1993,Jawa Timur - Kabupaten Malang,Laki,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Jawa,SMA,Jawa Timur - Kabupaten Pasuruan,Jawa Timur - Kota Malang,Wiraswasta,Islam,1973,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,"Indonesia, Jawa",Jawa,Indonesia,Indonesia,"Indonesia, Jawa",Jawa,SMA,Jawa Timur - Kabupaten Malang,Jawa Timur - Kabupaten Malang,Wiraswasta,Islam,1963,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Kediri, ,Swasta,Islam,,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Madura,Bapak dari ibu,Jawa,Madura,Jawa,Jawa,Jawa,"Jawa, Madura",,Jawa Timur - Kabupaten Pasuruan, ,Swasta,Islam,,Jawa,Madura
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Malang, ,Swasta,Islam,,Jawa,Madura
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Bangil, ,Swasta,Islam,,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,Jawa
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,ISGOTR,1.50521E+23,1994,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,D3,Jawa Timur - Kota Surabaya,Jawa Timur - Kabupaten Gresik,Ibu rumah tangga,Islam,1967,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,SMP,#NAME?,Jawa Timur - Kabupaten Gresik,TNI-AL,Islam,1965,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,SD,Bali - Kota Denpasar,Jawa Timur - Kota Surabaya,Pedagang,Islam,,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,SD,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,TNI-AL,Islam,,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Ngawi,Jawa Timur - Kabupaten Ngawi,Buruh Tani,Islam,,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Ngawi,Jawa Timur - Kabupaten Ngawi,Petani,Islam,,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,GNCASV,1.50521E+23,1994,Jawa Timur - Kabupaten Lamongan,Perempuan,Orang tua ,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,"Indonesia, Jawa",SMA,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,1975,Jawa,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,"Indonesia, Jawa",SMA,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,1965,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,IOPCGS,1.50521E+23,1994,Jawa Timur - Kota Blitar,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD, Jawa Tengah,Jawa Timur,Wiraswasta,Islam,1971,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,Jawa,Jawa,Indonesia,Jawa,SD, Jawa Timur,Jawa Timur,Wiraswasta,Islam,1961,Jawa,"Indonesia, Arab"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,SD,Jawa Tengah,Jawa Tengah,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,SD,Jawa Tengah,Jawa Tengah,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,SD,Jawa Timur,Jawa Timur,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,SD,Jawa Timur,Jawa Timur,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,OAMUDD,1.50521E+23,1994,Jawa Timur - Kabupaten Sidoarjo,Perempuan,"Ibu, Ayah",,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,"Indonesia, Jawa, Inggris",Jawa,Indonesia,"Indonesia, Jawa","Indonesia, Jawa",Jawa,S1,Jawa,Jawa Timur - Kabupaten Sidoarjo,Guru,Islam,1969,Jawa,"Indonesia, Inggris"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,"Indonesia, Jawa",Jawa,Indonesia,"Indonesia, Jawa","Indonesia, Jawa",Jawa,S1,Jawa,Jawa Timur - Kabupaten Sidoarjo,Guru,Islam,1964,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa,Jawa Timur - Kabupaten Sidoarjo,Petani,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Jawa,Jawa,Jawa,SD,Jawa,Almarhum,PNS,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa,Jawa Timur - Kabupaten Sidoarjo,Petani,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa,Almarhum,Petani,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,NOMOGJ,1.50525E+23,1994,Jawa Timur - Kabupaten Bojonegoro,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,,,,,,,S1,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro,Guru,Islam,1973,Jawa,"Jawa, Indonesia"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,,,,,,,S2,Jawa Timur - Kota Surabaya,Jawa Timur - Kabupaten Bojonegoro,Guru,Islam,1964,Madura,"Indonesia, Jawa, Madura"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,,,,,,,,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro,,Islam,,Madura,"Indonesia, Jawa, Madura"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,,,,,,,,Jawa Tengah - Kabupaten Rembang,Jawa Timur - Kabupaten Bojonegoro,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,,,,,,,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kota Surabaya,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Madura,Bapak dari bapak,,,,,,,,Jawa Timur - Madura,Jawa Timur - Kota Surabaya,,Islam,,Jawa,"Jawa, Madura"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,Madura,"Jawa, Madura"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,DBLRAW,1.50525E+23,1996,Jawa Timur - Kabupaten Nganjuk,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa,Jawa,Pedagang,Islam,1983,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa,Jawa,Petani,Islam,1974,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,THWYBB,1.50525E+23,1994,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Ibu rumah tangga,Islam,1968,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Wiraswasta,Islam,1963,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Surabaya-UNESA-Oktober-2014,DOJSUI,1.50525E+23,1993,Jawa Timur - Kota Surabaya,Laki,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,,Jawa,Jawa,"Jawa, Indonesia",SMK,Jawa Timur - Kabupaten Nganjuk,Jawa Timur - Kabupaten Sidoarjo,Ibu rumah tangga,Islam,1974,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,"Jawa, Indonesia",SMA,Jawa Timur - Kabupaten Sidoarjo,Jawa Timur - Kabupaten Sidoarjo,Swasta,Islam,1971,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
