session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs,dengan_ibu_lang,dengan_bapak_lang,dengan_kakak_adik_lang,dengan_nenek_dan_kakek_lang,dengan_suami_istri_lang,dengan_sanak_saudara_lang,dengan_tetangga_lang,dengan_pembantu_lang,apabila_marah_lang,dalam_mimpi_lang,berhitung_lang,kirim_sms_ke_keluarga_lang,kirim_sms_ke_teman_lang,kirim_sms_ke_suami_istri_lang,dalam_jejaring_sosial_lang,berdoa_dalam_hati_lang,berdoa_di_tempat_ibadah_lang,di_rumah_lang,di_tempat_kerja_lang,di_pasar_lang,di_warung_lang,di_bank_lang,di_kantor_pos_lang,di_sd_dengan_guru_lang,di_sd_dengan_teman_sekelas_lang,di_sma_dengan_guru_lang,di_sma_dengan_teman_sekelas_lang,di_kendaraan_umum_lang,membaca_novel_lang,membaca_koran_lang,membaca_majalah_lang,mendengar_musik_lang,mendengar_radio_lang,menonton_tv_lang
vojplj,1997,nusa tenggara timur - kota kupang,perempuan,orang tua,lebih dari 24,kupang,kupang,,kupang,kupang,kupang,alor,sma,nusa tenggara timur - kota kupang,nusa tenggara timur - kota kupang,,kristen (protestan),,alor,rote,kupang,alor,indonesia,kupang,kupang,kupang,alor,s2,nusa tenggara timur - kabupaten alor,nusa tenggara timur - kota kupang,,kristen (protestan),1986,alor,indonesia,kupang,rote,,kupang,kupang,kupang,rote,,nusa tenggara timur - kabupaten rote ndao,nusa tenggara timur - kota kupang,,kristen (protestan),,rote,kupang,kupang,alor,indonesia,kupang,kupang,alor,alor,,nusa tenggara timur - kabupaten alor,nusa tenggara timur - kota kupang,,kristen (protestan),,alor,kupang,alor,flores,,alor,alor,alor,flores,,nusa tenggara timur - kabupaten flores timur,nusa tenggara timur - kabupaten alor,,kristen (katolik),,flores,alor,alor,alor,indonesia,alor,alor,alor,alor,,nusa tenggara timur - kabupaten alor,nusa tenggara timur - kabupaten alor,pegawai,kristen (protestan),,alor,indonesia,kupang,kupang,kupang,kupang,,kupang,kupang,kupang,kupang,kupang,kupang,indonesia,kupang,,"indonesia, inggris",kupang,indonesia,kupang,,kupang,kupang,indonesia,indonesia,indonesia,kupang,indonesia,kupang,kupang,indonesia,indonesia,indonesia,"inggris, jepang",indonesia,indonesia
qanfkj,1995,jawa timur - kota surabaya,perempuan,orang tua,1-2,"jawa, indonesia",jawa,"jawa, indonesia","jawa, indonesia","jawa, indonesia","jawa, indonesia",jawa,sma,#name?,jawa timur - kota surabaya,wiraswasta,islam,1972,jawa,indonesia,"jawa, indonesia",tionghoa,"jawa, indonesia","jawa, indonesia","jawa, indonesia","jawa, indonesia",tionghoa,sma,jawa timur - kota surabaya,jawa timur - kota surabaya,wiraswasta,buddha,1958,tionghoa,indonesia,,,,,,,jawa,,,jawa timur - kabupaten lumajang,,islam,,,,,,,,,,jawa-tionghoa,,,jawa timur - kabupaten lumajang,,islam,,,,,,,,,,tionghoa,, ,jawa timur - kota surabaya,,buddha,,,,,,,,,,tionghoa,, , ,,buddha,,,,"jawa, indonesia","jawa, indonesia",jawa,"jawa, indonesia",,indonesia,,"jawa, indonesia","jawa, indonesia",indonesia,indonesia,"jawa, indonesia","indonesia, inggris",,"indonesia, inggris",indonesia,indonesia,"jawa, indonesia",indonesia,"jawa, indonesia","jawa, indonesia",indonesia,indonesia,indonesia,"jawa, indonesia",indonesia,"jawa, indonesia","jawa, indonesia",indonesia,indonesia,indonesia,inggris,indonesia,"indonesia, inggris"
xfwpqr,1995,jawa timur - kabupaten sidoarjo,laki,orang tua,6-12,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,tionghoa,sma,jawa timur - kota surabaya,jawa timur - kabupaten sidoarjo,ibu rumah tangga,kristen,1972,jawa,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,tionghoa,sma,jawa timur - kota surabaya,jawa timur - kabupaten sidoarjo,pedagang,konghucu,1971,jawa,,jawa,indonesia,indonesia,indonesia,indonesia,jawa,tionghoa,sma,jawa timur - kota surabaya,jawa timur - kabupaten sidoarjo,ibu rumah tangga,kristen,1945,jawa,,jawa,indonesia,indonesia,indonesia,indonesia,jawa,tionghoa,sma,daerah istimewa yogyakarta - kota yogyakarta,jawa timur - kabupaten sidoarjo,pedagang,kristen,1944,jawa,,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,tionghoa,sma,jawa timur - kota surabaya,jawa timur - kota surabaya,ibu rumah tangga,konghucu,1944,jawa,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,tionghoa,sma,#name?,jawa timur - kota surabaya,persewaan kapal,konghucu,194,indonesia,,indonesia,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,jawa,jawa,indonesia,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,jawa,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
amaqdl,1994,sulawesi tengah - kota palu,perempuan,orang tua,lebih dari 24,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"china, korea, indonesia","indonesia, inggris",,"indonesia, inggris",indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris","korea, inggris, jepang, dll.","indonesia, inggris","indonesia, inggris"
djewyc,1995,kalimantan timur - kota samarinda,laki,orang tua,12-24,,mandarin,,,mandarin,,cina,,kalimantan timur - kota samarinda,kalimantan timur - kota samarinda,,kristen,1964,jawa,mandarin,,"mandarin, jawa",,,mandarin,,cina,,jawa timur - kota surabaya,kalimantan timur - kota samarinda,,kristen,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,,,,,,indonesia,,,indonesia,indonesia,,,indonesia,indonesia,indonesia,,,,,,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,indonesia,inggris,,
sfaved,1995,jawa timur - kota surabaya,laki,orang tua,3-5,indonesia,banjar,indonesia,indonesia,indonesia,banjar,indo tionghoa,sma,kalimantan timur - kota samarinda,jawa timur - kota surabaya,koperasi simpan pinjam,kristen,1972,indonesia,banjar,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indo tionghoa,sma,kalimantan timur - kota balikpapan,di luar indonesia - jerman,koki,buddha,1968,indonesia,indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,,,,indonesia,indonesia,indonesia,surabaya,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,"indonesia, inggris","indonesia, inggris, japan, korea",indonesia,"indonesia, inggris"
izhxlh,1994,jawa timur - kota surabaya,perempuan,keluarga,0,korea,korea,,,korea,korea,,sma,di luar indonesia - korea,#name?,,kristen (katolik),1963,korea,,korea,korea,"korea, indonesia",,korea,korea,,sma,di luar indonesia - korea,#name?,wirausahawan,kristen (katolik),1960,korea,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,korea,korea,"korea, indonesia",korea,,korea,,indonesia,"korea, indonesia",korea,korea,korea,"indonesia, inggris",,"korea, inggris","korea, indonesia, inggris",korea,"korea, indonesia",,,,indonesia,,"indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris",indonesia,"indonesia, inggris",,"korea, indonesia, inggris",korea,korea,korea
edspaz,1994,jawa timur - kota surabaya,perempuan,orang tua dan saudara,lebih dari 24,indonesia,indonesia,,indonesia,indonesia,indonesia,,sma,jawa tengah - kabupaten semarang,jawa timur - kota surabaya,,kristen,1963,"indonesia, surabaya, javanese",china,indonesia,"indonesia, china",indonesia,indonesia,indonesia,indonesia,,sma,jawa timur - kota surabaya,jawa timur - kota surabaya,,kristen,1955,"indonesia, surabaya, javanese","indonesia, surabaya","indonesia, surabaya","indonesia, surabaya",,,,,,sma,jawa tengah - kabupaten semarang,jawa timur - kota surabaya,,kristen,,"indonesia, surabaya",,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,"indonesia, inggris"
qagjkj,1995,jawa timur - kota surabaya,perempuan,keluarga,3-5,,,,,,,indo chinese,sma, , ,,kristen,1968,chinese,indonesia,,,,,,,indo chinese,s1, , ,,kristen,1967,indonesia,blitar,,,,,,,chinese,,jawa timur - kota surabaya, ,,kong gu chu,,indonesia,jawa,,,,,,,chinese,,jawa timur - kota surabaya,jawa timur - kota surabaya,supir,kristen,1947,chinese,indonesia,,,,,,,chinese,,jawa timur - kabupaten blitar, ,,kristen,,indonesia,blitar,,,,,,,chinese,,jawa timur - kabupaten blitar, ,wartawan,kristen,,indonesia,blitar,,,,,,,,,tinggi,,angka,,informal,,gaul,indonesia,roh,,,negoisasi,indonesia,,,,,,,,,,,tidak berbicara,,
ioxidr,1995,bali - kota denpasar,perempuan,keluarga,3-5,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indo chinese,s1,jawa timur - kota surabaya,jawa timur - kota surabaya,"pendeta, dosen",kristen,1968,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indo chinese,s2,jawa timur - kota surabaya,jawa timur - kota surabaya,"pendeta, dosen",kristen,1966,indonesia,indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,gak sadar,angka,formal,gaul,blm punya suami,gaul,indonesia,roh,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
exkzvs,1995,#name?,perempuan,orang tua,,"indonesia, jawa",indonesia,,"indonesia, jawa","indonesia, jawa","indonesia, jawa",tionghoa,sma,jawa timur - kota surabaya,jawa timur - kabupaten sidoarjo,karyawan swasta,kristen,1970,indonesia,jawa,"indonesia, jawa",indonesia,indonesia,indonesia,"indonesia, jawa","indonesia, jawa",tionghoa,s1,jawa timur - kota surabaya,jawa timur - kabupaten sidoarjo,karyawan swasta,kristen,1966,indonesia,jawa,,,,,,,tionghoa,, ,jawa timur - kota surabaya,,kristen,,,,,,,,,,tionghoa,, ,jawa timur - kota surabaya,,kristen,,,,"indonesia, jawa",,,"indonesia, jawa","indonesia, jawa","indonesia, jawa",tionghoa,, ,jawa timur - kota surabaya,,kristen,,,,"indonesia, jawa",,,"indonesia, jawa","indonesia, jawa","indonesia, jawa",tionghoa,, ,jawa timur - kota surabaya,,kristen,,,,indonesia,indonesia,"indonesia, jawa",indonesia,,indonesia,indonesia,"indonesia, jawa","indonesia, jawa",indonesia,indonesia,indonesia,indonesia,,"indonesia, inggris",indonesia,indonesia,"indonesia, jawa",,jawa,"indonesia, jawa",indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, jawa",jawa,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris"
cbfrud,1995,gorontalo - kabupaten gorontalo,laki,orang tua,3-5,gorontalo,gorontalo,indonesia,indonesia,gorontalo,indonesia,tionghoa,sma,gorontalo - kabupaten gorontalo,bali,,buddha,,gorontalo,jawa,gorontalo,bali,indonesia,indonesia,gorontalo,indonesia,tionghoa,sma,bali,bali,,buddha,,bali,"jawa, gorontalo",gorontalo,,indonesia,indonesia,"gorontalo, mandarin",indonesia,tionghoa,,gorontalo - kota gorontalo,jawa timur - kota surabaya,pengusaha,kristen,,gorontalo,mandarin,gorontalo,,indonesia,indonesia,"gorontalo, mandarin",indonesia,tionghoa,, ,jawa timur - kota surabaya,pengusaha,kristen,,mandarin,indonesia,,,indonesia,indonesia,,indonesia,tionghoa,, , ,pengusaha,buddha,,bali,mandarin,bali,,indonesia,indonesia,"bali, jawa",indonesia,tionghoa,,bali,bali,pengusaha,buddha,,bali,"jawa, mandarin",gorontalo,gorontalo,gorontalo,"gorontalo, indonesia",gorontalo,indonesia,gorontalo,gorontalo,gorontalo,gorontalo,gorontalo,gorontalo,"gorontalo, indonesia",gorontalo,"gorontalo, inggris, indonesia",gorontalo,indonesia,gorontalo,indonesia,gorontalo,gorontalo,indonesia,indonesia,indonesia,gorontalo,indonesia,gorontalo,gorontalo,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
znwgmd,1994,sulawesi utara - kota manado,laki,orang tua,1-2,menado,menado,menado,menado,menado,menado,chinese,s1,sulawesi utara - kota manado,sulawesi utara - kota manado,kerja kantoran,kristen,1965,menado,menado,menado,menado,menado,menado,menado,menado,menado,s1,sulawesi utara - kota manado,sulawesi utara - kota manado,kerja kantoran,kristen,1965,menado,menado,menado,siau,,siau,"siau, chinese",siau,chinese,,sulawesi utara - kabupaten kepulauan siau tagulandang biaro,sulawesi utara - kota manado,,kristen,1990,chinese,,,chinese,,siau,"siau, chinese","siau, chinese",chinese,s1,sulawesi utara - kabupaten kepulauan siau tagulandang biaro, ,guru,kristen,1990,chinese,,menado,menado,,menado,menado,menado,menado,,sulawesi utara - kota manado, ,,kristen,1990,menado,,menado,menado,,menado,menado,menado,menado,s1,sulawesi utara - kota manado, ,tentara,kristen,1990,menado,,menado,menado,menado,menado,,menado,indonesia,,"menado, indonesia","menado, indonesia, inggris","menado, indonesia",menado,"menado, indonesia",,inggris,menado,menado,"menado, indonesia",,indonesia,indonesia,indonesia,indonesia,menado,menado,menado,menado,indonesia,inggris,,inggris,inggris,indonesia,inggris
jlczcu,1996,kalimantan tengah - kota palangka raya,perempuan,orang tua,3-5,"dayak, indonesia",dayak,"dayak, indonesia","dayak, indonesia","dayak, indonesia","dayak, indonesia",dayak,s1, kalimantan tengah - kabupaten kapuas,#name?,pegawai negeri,kristen (protestan),1971,dayak,indonesia,"dayak, indonesia",dayak,"dayak, indonesia","dayak, indonesia","dayak, indonesia","dayak, indonesia",dayak,s1,#name?,#name?,pegawai negeri,kristen (protestan),1954,dayak,indonesia,"dayak, indonesia",dayak,dayak,dayak,dayak,dayak,dayak,sma,kalimantan tengah - kabupaten kapuas,kalimantan tengah - kota palangka raya,swasta,kristen,1945,dayak,indonesia,"dayak, indonesia",dayak,dayak,dayak,dayak,dayak,dayak,sma,#name?,kalimantan tengah - kota palangka raya,perawat,kristen,1939,dayak,indonesia,dayak,dayak,dayak,dayak,dayak,dayak,dayak,sd,#name?,#name?,swasta,kristen,1939,dayak,indonesia,dayak,dayak,dayak,dayak,dayak,dayak,dayak,smp,#name?,#name?,swasta,kristen,1939,dayak,indonesia,"dayak, indonesia","dayak, indonesia","dayak, indonesia",dayak,,"dayak, indonesia",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",,"inggris, dayak, indonesia",indonesia,"indonesia, inggris","dayak, indonesia",,indonesia,indonesia,indonesia,indonesia,"dayak, indonesia","dayak, indonesia","indonesia, inggris","indonesia, inggris",indonesia,"indonesia, inggris",indonesia,"indonesia, inggris",inggris,indonesia,"indonesia, inggris"
nnxupd,1995,jawa timur - kota surabaya,perempuan,orang tua,6-12,,,,,,,tionghua,sma, ,jawa timur - kota surabaya,pegawai swasta,kristen,,hokkian,indonesia,,,,,,,tionghua,sma, ,jawa timur - kota surabaya,,kristen,,hokkian,indonesia,,hokkian,,,hokkian,hokkian,tionghua,,di luar indonesia - china, ,,buddha,,hokkian,balikpapan,,hokkian,,,hokkian,hokkian,tionghua,,di luar indonesia - china, ,,buddha,,hokkian,balikpapan,,,,,,,tionghua,,di luar indonesia - china, ,,buddha,,,,,,,,,,tionghua,,di luar indonesia - china, ,,buddha,,,,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,"jawa, indonesia",indonesia,indonesia,indonesia,indonesia,,"indonesia, inggris",indonesia,indonesia,indonesia,,,indonesia,indonesia,,indonesia,jawa,indonesia,jawa,indonesia,"indonesia, inggris",indonesia,indonesia,inggris,,"china, indonesia, inggris"
nyhwtc,1995,jawa timur - kabupaten bojonegoro,perempuan,"orang tua, kakak, adik",3-5,indonesia,indonesia,jawa halus,"indonesia, jawa","indonesia, jawa",indonesia,keturunan tionghoa,sma,jawa tengah - parakan,jawa timur - kabupaten bojonegoro,ibu rumah tangga,kristen,1961,indonesia,jawa,"indonesia, jawa",indonesia,jawa halus,"indonesia, jawa","indonesia, jawa","indonesia, jawa",keturunan tionghoa,sma,jawa timur - kabupaten bojonegoro,jawa timur - kabupaten bojonegoro,wiraswasta,kristen,1959,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,,indonesia,keturunan tionghoa,sd,jawa tengah - parakan,jawa tengah - parakan,wiraswasta,kristen,1937,indonesia,mandarin,,,,,,,keturunan tionghoa,sd,jawa tengah - parakan, ,,kristen,1935,mandarin,indonesia,indonesia,dayak,,indonesia,indonesia,indonesia,keturunan tionghoa,sma,#name?, ,,kristen,1940,dayak,indonesia,indonesia,mandarin,indonesia,indonesia,indonesia,indonesia,keturunan tionghoa,sd,jawa timur - bangil, ,wiraswasta,konghucu,1938,mandarin,indonesia,indonesia,indonesia,"indonesia, jawa",indonesia,,indonesia,indonesia,"indonesia, jawa","indonesia, jawa",indonesia,indonesia,indonesia,"indonesia, jawa",,"indonesia, inggris",indonesia,indonesia,"indonesia, jawa",,"indonesia, jawa",indonesia,indonesia,indonesia,indonesia,"indonesia, jawa",indonesia,"indonesia, jawa",indonesia,indonesia,indonesia,indonesia,inggris,indonesia,"indonesia, inggris"
wkrjwg,1995,maluku - kota ambon,perempuan,orang tua,6-12,indonesia,ambon,indonesia,ambon,indonesia,ambon,ambon,s1,maluku - kota ambon,maluku - kota ambon,pendeta,kristen (protestan),1963,"indonesia, ambon",indonesia,indonesia,ambon,indonesia,ambon,indonesia,ambon,ambon,s1,maluku - kota ambon,maluku - kota ambon,guru,kristen (protestan),1963,"indonesia, ambon",indonesia,ambon,ambon,ambon,ambon,ambon,ambon,ambon,,maluku - kota ambon,maluku - kota ambon,,kristen (protestan),1941,ambon,indonesia,ambon,ambon,"indonesia, ambon",ambon,ambon,ambon,ambon,,maluku - kota ambon,maluku - kota ambon,abri,kristen (protestan),1939,ambon,indonesia,ambon,ambon,,ambon,ambon,ambon,ambon,,maluku - kota ambon,maluku - kota ambon,,kristen (protestan),1936,ambon,indonesia,ambon,ambon,ambon,ambon,ambon,ambon,ambon,,maluku - kota ambon,maluku - kota ambon,petani,kristen (protestan),1934,ambon,indonesia,indonesia,indonesia,ambon,indonesia,,"indonesia, ambon",ambon,,ambon,indonesia,indonesia,"indonesia, ambon",ambon,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,ambon,indonesia,ambon,ambon,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
yitbga,1992,maluku - kota ambon,perempuan,orang tua,3-5,ambon,ambon,ambon,ambon,ambon,ambon,ambon,s2,maluku - kota ambon,maluku - kota ambon,pegawai sipil,kristen,1965,"ambon, saparua",ambon,ambon,ambon,ambon,ambon,ambon,ambon,ambon,s1,maluku - kota ambon,maluku - kota ambon,gurua,kristen,1962,"ambon, saparua",ambon,ambon,ambon,ambon,ambon,ambon,ambon,ambon,sr,#name?,#name?,petani,kristen,1940,ambon,ambon,ambon,ambon,ambon,ambon,ambon,ambon,ambon,sr,#name?,#name?,nelayan,kristen,1940,ambon,ambon,ambon,ambon,ambon,ambon,ambon,ambon,ambon,sr,#name?,#name?,petani,kristen,1940,ambon,,ambon,ambon,ambon,ambon,ambon,ambon,ambon,sekolah rakyat,#name?,#name?,petani,kristen,1941,ambon,,ambon,ambon,ambon,ambon,,ambon,ambon,ambon,,ambon,ambon,ambon,ambon,,ambon,ambon,indonesia,ambon,indonesia,ambon,"jawa, indonesia",indonesia,indonesia,indonesia,ambon,indonesia,ambon,ambon,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
ywoodx,1995,"jawa timur - surabaya, sidoarjo",perempuan,orang tua,lebih dari 24,"indonesia, jawa",jawa,,indonesia,"indonesia, jawa",jawa,jawa,sma,jawa timur - kabupaten malang,jawa timur - kabupaten sidoarjo,,islam,1970,jawa,indonesia,"indonesia, jawa","jawa, mandarin",,indonesia,"indonesia, mandarin, jawa","jawa, mandarin",tionghoa,sma,jawa timur - kabupaten tuban,jawa timur - kabupaten sidoarjo,pegawai swasta,islam,1965,"mandarin, jawa","indonesia, inggris",,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,"indonesia, jawa","indonesia, mandarin, jawa","inggris, indonesia, jawa",indonesia,,indonesia,indonesia,jawa,indonesia,,indonesia,indonesia,"jawa, inggris",,inggris,indonesia,"indonesia, inggris","indonesia, jawa",,indonesia,,,,,,,,,inggris,indonesia,,inggris,,"indonesia, inggris"
gulnft,1994,jawa timur - kabupaten ponorogo,perempuan,ornag tua,3-5,indonesia,"indonesia, mandarin",indonesia,indonesia,"indonesia, mandarin","indonesia, mandarin",,s1,#name?,jawa timur - kabupaten ponorogo,wiraswasta,kristen,1963,mandarin,indonesia,indonesia,mandarin,indonesia,indonesia,"indonesia, mandarin","indonesia, mandarin",,s1,#name?,jawa timur - kabupaten ponorogo,wiraswasta,kristen,1959,mandarin,indonesia,,mandarin,,indonesia,"indonesia, mandarin","indonesia, mandarin",,,di luar indonesia - china, ,ibu rumah tangga,kristen,,mandarin,indonesia,,mandarin,indonesia,indonesia,"indonesia, mandarin","indonesia, mandarin",,,#name?, ,wiraswasta,kristen,,mandarin,indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,"indonesia, jawa",indonesia,,indonesia,indonesia,"indonesia, jawa","indonesia, jawa",indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,indonesia,"indonesia, inggris, korea",indonesia,"indonesia, inggris, korea"
ytllkj,1995,kalimantan barat - kabupaten pontianak,perempuan,orang tua,12-24,"tio ciu, hakka",hakka,"tio ciu, indonesia","tio ciu, hakka, indonesia",tio ciu,"tio ciu, hakka",chinese,akademi,kalimantan barat - kabupaten pontianak,kalimantan barat - kabupaten pontianak,wiraswasta,kristen,1971,hakka,"tio ciu, indonesia, inggris",tio ciu,tio ciu,"tio ciu, indonesia","tio ciu, indonesia",tio ciu,tio ciu,chinese,sd,kalimantan barat - kabupaten pontianak,kalimantan barat - kabupaten pontianak,wiraswasta,buddha,1967,tio ciu,"hakka, indonesia",hakka,hakka,"hakka, melayu",hakka,hakka,hakka,chinese,smp,kalimantan barat - kabupaten pontianak,kalimantan barat - kabupaten pontianak,penjahit,buddha,1942,hakka,mandarin,hakka,hakka,"hakka, melayu",hakka,hakka,hakka,chinese,sd,kalimantan barat - kabupaten pontianak,kalimantan barat - kabupaten pontianak,penjahit,buddha,1941,hakka,mandarin,tio ciu,tio ciu,"tio ciu, melayu",tio ciu,tio ciu,tio ciu,chinese,smp,kalimantan barat - kabupaten pontianak,kalimantan barat - kabupaten pontianak,ibu rumah tangga,buddha,1940,tio ciu,mandarin,"tio ciu, mandarin","tio ciu, mandarin","tio ciu, melayu","tio ciu, indonesia","tio ciu, mandarin","tio ciu, indonesia",chinese,sma,kalimantan barat - kabupaten pontianak,kalimantan barat - kabupaten pontianak,wiraswasta,buddha,1938,tio ciu,mandarin,"tio ciu, hakka",tio ciu,tio ciu,hakka,,"tio ciu, hakka","tio ciu, hakka, indonesia",indonesia,"tio ciu, indonesia","tio ciu, indonesia, inggris","tio ciu, hakka, indonesia","tio ciu, indonesia","indonesia, inggris",,"indonesia, inggris",indonesia,indonesia,"tio ciu, hakka",,"indonesia, melayu","indonesia, melayu","tio ciu, indonesia",indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris",indonesia,"indonesia, inggris",indonesia,"indonesia, inggris","inggris, korea, indonesia, mandarin",indonesia,"indonesia, inggris, korea"
